Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - marta,https://www.crunchbase.com/funding_round/marta-ccc1-seed--e78926ab,marta,https://www.crunchbase.com/organization/marta-ccc1,Seed,"Berlin, Berlin, Germany, Europe",6600000,EUR,6577957,2022-08-23,Seed,,,,Yes,marta provides software for the live-in care market that empowers caregivers and helps our seniors to age in dignity.,"Health Care, Home Health Care, Software",,https://www.marta.de/,$1M to $10M,6600000,EUR,6577957,Seed,2,"Almaz Capital, Capnamic Ventures","Almaz Capital, Capnamic Ventures, Christian Vollmann, GMP Capital, Ithaca Investments, Johannes Schaback, Julian Stiefel, Laura Esnola, Steffen Zoller, SumUp Impact Fund, Verve Ventures",11,2,"54,392"
Seed Round - Climatiq,https://www.crunchbase.com/funding_round/climatiq-seed--f5a42f2a,Climatiq,https://www.crunchbase.com/organization/climatiq,Seed,"Berlin, Berlin, Germany, Europe",6000000,EUR,5860428,2022-10-13,Seed,,,,Yes,Build climate intelligent solutions powered by smart data,"CleanTech, Developer APIs, Enterprise Software, Software, Sustainability",,https://www.climatiq.io,,7860428,USD,7860428,Seed,2,Singular,"Angel Invest, Cherry Ventures, Singular",3,1,"59,012"
Seed Round - how.fm,https://www.crunchbase.com/funding_round/soundreply-seed--9cb65385,how.fm,https://www.crunchbase.com/organization/soundreply,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",5000000,EUR,5366350,2022-05-26,Seed,,,,Yes,how.fm is a manual worker training and performance support platform,"Information Technology, Software",,http://www.how.fm,$1M to $10M,8166350,USD,8166350,Seed,2,Join Capital,"Andrej Henkler, Capnamic Ventures, Christopher North, François Nuyts, Join Capital, Kindred Capital, Leblon Capital, Michael Wax",8,3,"60,344"
Series A - Knowunity,https://www.crunchbase.com/funding_round/knowunity-series-a--bcfec6ca,Knowunity,https://www.crunchbase.com/organization/knowunity,Series A,"Sindelfingen, Baden-Wurttemberg, Germany, Europe",10000000,EUR,10732930,2022-05-24,Early Stage Venture,,,,Yes,"Knowunity is the digital learning platform with summaries, study notes, presentations, answers and more in one app.","E-Learning, Education, Software",,https://knowunity.de/,$1M to $10M,21000000,EUR,22758350,Early Stage Venture,3,"redalpine, Stride.VC","Mario Götze, Possible Ventures, Project A Ventures, redalpine, Stride.VC",5,3,"59,702"
Series A - OroraTech,https://www.crunchbase.com/funding_round/ororatech-series-a--b62dc0bb,OroraTech,https://www.crunchbase.com/organization/ororatech,Series A,"Munich, Bayern, Germany, Europe",16000000,EUR,16677664,2022-11-30,Early Stage Venture,,,,Yes,OroraTech is an intelligence-as-a-service company that uses thermal data to provide wildfire detection and monitoring solutions.,"Business Intelligence, Environmental Engineering, Forestry, Geospatial, GreenTech, Information Services, Predictive Analytics, Sustainability",,https://ororatech.com,$10M to $50M,48415000,EUR,52768573,Early Stage Venture,10,Edaphon,"Ananda Impact Ventures, APEX Ventures, Bayern Kapital, Clemens Kaiser, ConActivity KG, Earth Science Foundation, Edaphon, European Space Agency, Findus Venture, Ingo Baumann, SpaceTec Capital",11,,"60,915"
Venture Round - Yoummday GmbH,https://www.crunchbase.com/funding_round/yoummday-pty-ltd-series-unknown--fc9a0727,Yoummday GmbH,https://www.crunchbase.com/organization/yoummday-pty-ltd,Venture - Series Unknown,"Munich, Bayern, Germany, Europe",30000000,EUR,34233015,2022-02-10,,,,,Yes,The world’s first online marketplace for contact centre solutions for in- and outbound,"Artificial Intelligence (AI), Consulting, Outsourcing, SaaS",,https://www.yoummday.com/de,$100M to $500M,30000000,EUR,34233015,,1,"Armira, Project A Ventures","Armira, Project A Ventures",2,2,"61,055"
Seed Round - Valve,https://www.crunchbase.com/funding_round/valve-seed--e9c10213,Valve,https://www.crunchbase.com/organization/valve,Seed,"London, England, United Kingdom, Europe",4500000,USD,4500000,2022-09-15,Seed,,,,Yes,Valve is the global industry system for flexible workspaces.,Software,,https://www.valvespace.com,$1M to $10M,4500000,USD,4500000,Seed,1,Project A Ventures,"Discovery Ventures, Project A Ventures, Rong Xuan Teo",3,1,"61,911"
Pre Seed Round - Anboto Labs,https://www.crunchbase.com/funding_round/anboto-labs-pre-seed--4a6c9902,Anboto Labs,https://www.crunchbase.com/organization/anboto-labs,Pre-Seed,"Singapore, Central Region, Singapore, Asia",,,,2022-02-14,Seed,,,,Yes,"Anboto Labs provides traders with a unified execution platform to trade Crypto across exchanges, networks and applications.","Blockchain, Cryptocurrency, Developer Platform, Trading Platform",,https://anboto.xyz/,$1M to $10M,,,,Seed,1,Cherry Ventures,"Cherry Ventures, Kronos Research, Mechanism Capital, mgnr.io, Ryze Labs, XBTO Group",6,,"63,714"
Series A - TreeCard,https://www.crunchbase.com/funding_round/treecard-series-a--58c06c53,TreeCard,https://www.crunchbase.com/organization/treecard,Series A,"London, England, United Kingdom, Europe",22000000,EUR,22931787,2022-11-30,Early Stage Venture,,,,Yes,"Treecard is a fullstack green finance platform, allowing consumers to spend, save and invest responsibly.","Banking, Debit Cards, Financial Services, FinTech, Sustainability",,https://www.treecard.org/,$10M to $50M,29113170,USD,29113170,Early Stage Venture,4,Valar Ventures,"Dylan Field, Episode 1, EQT Ventures, Josh Browder, Seedcamp, Valar Ventures, World Fund",7,3,"64,424"
Series A - Lidrotec,https://www.crunchbase.com/funding_round/lidrotec-series-a--8773490d,Lidrotec,https://www.crunchbase.com/organization/lidrotec,Series A,"Bochum, Nordrhein-Westfalen, Germany, Europe",5000000,EUR,5312751,2022-12-20,Early Stage Venture,,,,Yes,Lidrotec aim to expand the application potential of processing with ultra-short pulse lasers.,"Industrial Manufacturing, Semiconductor",,https://www.lidrotec.de/,,6312751,USD,6312751,Early Stage Venture,3,GOOSE Capital,"CRC Ventures, GOOSE Capital, Gruenderfonds Ruhr, Industry consulting Strobl, Luminate, Onsight Ventures, Robert Strobl, TiE Angels, Toni Schlegel",9,,"64,864"
Series B - Resolve BioSciences,https://www.crunchbase.com/funding_round/resolve-biosciences-series-b--88998e23,Resolve BioSciences,https://www.crunchbase.com/organization/resolve-biosciences,Series B,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",71000000,USD,71000000,2022-10-24,Early Stage Venture,,,,Yes,Resolve Biosciences is a biotechnology research company for molecular cartography.,"Biotechnology, Genetics, Health Care, Life Science, Medical",,https://resolvebiosciences.com/,,95000000,USD,95000000,Early Stage Venture,2,Patient Square Capital,"Alafi Capital, EDBI, HTGF | High-Tech Gruenderfonds, John Shoffner, NRW.BANK, Patient Square Capital, PS Capital",7,1,"64,439"
Pre Seed Round - Return Protocol,https://www.crunchbase.com/funding_round/return-protocol-pre-seed--e2ee8e5d,Return Protocol,https://www.crunchbase.com/organization/return-protocol,Pre-Seed,"Chelmsford, Massachusetts, United States, North America",2500000,USD,2500000,2022-11-04,Seed,,,,Yes,"Return Protocol is to empower any consumer, business or community to take transparent and value aligned climate action.",Cryptocurrency,,https://www.return.green/,,2500000,USD,2500000,Seed,1,Cherry Ventures,"Allegory Labs, Blue Bear Capital, Cherry Ventures, Climate Capital, Eniac Ventures, Mario Götze, Not Boring Capital, Possible Ventures, Slow Ventures",9,1,"67,429"
Pre Seed Round - Meander,https://www.crunchbase.com/funding_round/vektor-ai-pre-seed--668fbd5f,Meander,https://www.crunchbase.com/organization/vektor-ai,Pre-Seed,"London, England, United Kingdom, Europe",2400000,EUR,2482681,2022-11-18,Seed,,,,Yes,Meander the career platform for Tech professionals.,"Consulting, Service Industry",,https://meander.so,,2400000,EUR,2482681,Seed,2,"Cherry Ventures, Mosaic Ventures","Bradley Horowitz, Cherry Ventures, Deborah Liu, Mosaic Ventures, Paul Forster, Phillip Chambers, Ujjwal Singh",7,2,"69,016"
Seed Round - Rouvia,https://www.crunchbase.com/funding_round/rouvia-seed--726b73bb,Rouvia,https://www.crunchbase.com/organization/rouvia,Seed,"Berlin, Berlin, Germany, Europe",2900000,EUR,3022827,2022-11-30,Seed,,,,Yes,Rouvia is a logistics company engaged in sustainable freight transportation and supply management.,"Logistics, Supply Chain Management, Transportation",,https://rouvia.com/,,2900000,EUR,3022827,Seed,1,NAP,"Angel Invest, Dynamo, Entrepreneur First, Ewald Kaiser, Markus Doetsch, Maximilian Schaefer, NAP, Nathan Ziele, Philipp Ortwein, Prequel Ventures",10,1,"67,680"
Series A - Customcells Group,https://www.crunchbase.com/funding_round/customcells-series-a--c93eb1f7,Customcells Group,https://www.crunchbase.com/organization/customcells,Series A,"Itzehoe, Schleswig-Holstein, Germany, Europe",60000000,EUR,63334498,2022-12-08,Early Stage Venture,,,,Yes,"Innovative cells, High performance batteries, Lithium ion, cells, Automotive cells, Aviation cells, High Si cells, battery technology","Aerospace, Artificial Intelligence (AI), Automotive, Battery, Chemical, Chemical Engineering, CleanTech, Energy, Energy Efficiency, Energy Storage",,http://www.customcells.de,$1M to $10M,60000000,EUR,63334498,Early Stage Venture,3,"ABACON CAPITAL, World Fund","ABACON CAPITAL, Porsche, Vsquared Ventures, World Fund",4,4,"67,700"
Seed Round - Landmark Games,https://www.crunchbase.com/funding_round/landmark-games-seed--6fdb0d3e,Landmark Games,https://www.crunchbase.com/organization/landmark-games,Seed,"London, England, United Kingdom, Europe",4470000,EUR,4612965,2022-11-14,Seed,,,,Yes,Landmarka mobile game development studio founded on the principles and value,Gaming,,https://www.landmark.games,,4470000,EUR,4612965,Seed,1,"InReach Ventures, Project A Ventures","Concept Ventures, Edo Salvesen, InReach Ventures, Karthik Prabhakar, Moonfire Ventures, Murray Pannell, Nick Button-Brown, Oliver Jenkinson, Parin Shah, Project A Ventures",10,1,"67,865"
Seed Round - Brahma,https://www.crunchbase.com/funding_round/brahma-fi-seed--7c7e301d,Brahma,https://www.crunchbase.com/organization/brahma-fi,Seed,"Virgin, Utah, United States, North America",4206900,USD,4206900,2022-02-22,Seed,,,,Yes,"Console is the non-custodial multi-chain account to secure, navigate, and automate on-chain interactions. Built for pros. Easy for all.","Blockchain, Enterprise Software, Finance",,https://www.brahma.fi/,,4206900,USD,4206900,Seed,1,Framework Ventures,"Cherry Ventures, Daedalus Angel Syndicate, DegenScore, Dialectic, Framework Ventures, Igor Igamberdiev, Jason Choi, LedgerPrime, Lightspeed Venture Partners, Maven 11 Capital, Santiago Roel Santos, Tess Ventures, The LAO, Zee Prime Capital",14,,"75,586"
Seed Round - Immerok,https://www.crunchbase.com/funding_round/immerok-seed--5a6e41b4,Immerok,https://www.crunchbase.com/organization/immerok,Seed,"Berlin, Berlin, Germany, Europe",17000000,USD,17000000,2022-10-03,Seed,,,,Yes,Immerok is building a fully managed Apache Flink cloud service for real-time stream processing applications at scale.,"Cloud Data Services, Developer Platform, Information Technology, Open Source",,https://www.immerok.io/,,17000000,USD,17000000,M&A,1,"468 Capital, Cusp Capital","468 Capital, Cortical Ventures, Cusp Capital, Essence VC, Stephan Ewen",5,3,"83,992"
Series A - remberg,https://www.crunchbase.com/funding_round/remberg-series-a--0e25a6a8,remberg,https://www.crunchbase.com/organization/remberg,Series A,"Munich, Bayern, Germany, Europe",11000000,EUR,12585812,2022-02-07,Early Stage Venture,,,,Yes,The #1 Asset Platform for an AI-powered Industrial Workforce with no Limits,"Enterprise Software, Industrial Manufacturing, Machinery Manufacturing, Software",,https://remberg.com/,Less than $1M,13000000,EUR,14800661,Early Stage Venture,2,Earlybird Venture Capital,"another.vc, Crew Capital, Earlybird Venture Capital, Fly Ventures, Leblon Capital, Robin Dechant, Speedinvest",7,1,"86,489"
Series A - Flip,https://www.crunchbase.com/funding_round/flip-77d5-series-a--279f2160,Flip,https://www.crunchbase.com/organization/flip-77d5,Series A,"Stuttgart, Baden-Wurttemberg, Germany, Europe",30000000,USD,30000000,2022-02-02,Early Stage Venture,,,,Yes,Flip is the employee app that connects all employees from firstline to desktop and enables the distribution of top-down information.,"Apps, Mobile Apps, Software",,https://flipapp.de,$10M to $50M,34000000,USD,34000000,Early Stage Venture,3,"HV Capital, Notion Capital","Flixfounders, Fritz Österle, HV Capital, Jürgen Hambrecht, Kurt Lauk, LEA Partners, Matthias Müller, NAP, Notion Capital, Roland Berger",10,3,"97,159"
Series A - CELUS,https://www.crunchbase.com/funding_round/contunity-series-a--0d546f80,CELUS,https://www.crunchbase.com/organization/contunity,Series A,"Munich, Bayern, Germany, Europe",25000000,EUR,25460738,2022-07-06,Early Stage Venture,,,,Yes,Engineering platform to automate the development of electronics,"Artificial Intelligence (AI), Software",,https://www.celus.io/,$10M to $50M,30350000,EUR,31618631,Early Stage Venture,5,Earlybird Venture Capital,"2xN, Carl-Peter Forster, DI Technology, Earlybird Venture Capital, John Rose, Koenraad Crooijmans, Martina Koederitz, Paul Gojenola, Peter Bonfield, Plug and Play, Speedinvest",11,4,"97,596"
Series A - Patronus Group,https://www.crunchbase.com/funding_round/patronus-group-series-a--91e1d3bd,Patronus Group,https://www.crunchbase.com/organization/patronus-group,Series A,"Berlin, Berlin, Germany, Europe",27000000,EUR,26762032,2022-10-05,Early Stage Venture,,,,Yes,Patronus Group is an elderly well-being company that assists parents and grandparents in living safely and independently in the future.,"Elderly, Health Care, Information Technology, Software",,https://www.patronus-group.com,$1M to $10M,33762032,USD,33762032,Early Stage Venture,3,"Adjacent, Singular","Adjacent, Burda Principal Investments, NAP, Singular, UVC Partners",5,4,"101,362"
Seed Round - Fimo Health,https://www.crunchbase.com/funding_round/fimo-health-seed--20e96596,Fimo Health,https://www.crunchbase.com/organization/fimo-health,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2022-06-08,Seed,,,,Yes,We build the leading ecosystem for patients suffering from fatigue in chronic diseases.,"Health Care, Medical, Medical Device",,https://fimohealth.com,Less than $1M,,,,Seed,1,"Barmenia Next Strategies, LUMO labs","Barmenia Next Strategies, LUMO labs, NRW.BANK, Rockstart",4,1,"102,419"
Seed Round - Claimer,https://www.crunchbase.com/funding_round/claimer-seed--e5ee81b3,Claimer,https://www.crunchbase.com/organization/claimer,Seed,"Croydon, Croydon, United Kingdom, Europe",4200000,USD,4200000,2022-09-14,Seed,,,,Yes,Claimer makes it simple to submit credit claims for money used for R&D.,"Accounting, Credit, Finance, Financial Services, FinTech, Software",,https://www.claimer.com,$1B to $10B,4549500,USD,4549500,Seed,2,Project A Ventures,"Ben Holmes, Errol Damelin, Harry Briggs, Hello World, Ian Hogarth, Matt Clifford, Moonfire Ventures, Project A Ventures, TrueSight Ventures",9,2,"102,609"
Pre Seed Round - Moojo,https://www.crunchbase.com/funding_round/moojo-f895-pre-seed--da1f40c2,Moojo,https://www.crunchbase.com/organization/moojo-f895,Pre-Seed,"Berlin, Berlin, Germany, Europe",2000000,USD,2000000,2022-04-22,Seed,,,,Yes,Moojo helps freelancers and creators streamline their invoicing process and get paid instantly.,"Financial Services, FinTech, Freelance",,https://getmoojo.com,,2000000,USD,2000000,Seed,1,,"APX, b2venture, Helvetia Venture Fund, MS&AD Ventures, neoteq ventures, Red Swan Ventures",6,,"103,097"
Seed Round - Origin,https://www.crunchbase.com/funding_round/origin-9fa4-seed--5f069772,Origin,https://www.crunchbase.com/organization/origin-9fa4,Seed,"Palo Alto, California, United States, North America",5000000,USD,5000000,2022-01-14,Seed,,,,Yes,Origin provides the best-in-class personalized trips for luxury travel.,"Apps, Information Technology, Software",,https://www.origin.me/,$1M to $10M,5000000,USD,5000000,Seed,2,Project A Ventures,"Brad Klingerberg, David Rosenthal, John Johnson, NAP, Project A Ventures",5,1,"109,890"
Seed Round - Freshflow,https://www.crunchbase.com/funding_round/freshflow-seed--fa423837,Freshflow,https://www.crunchbase.com/organization/freshflow,Seed,"Berlin, Berlin, Germany, Europe",1700000,EUR,1841976,2022-04-21,Seed,,,,Yes,Freshflow is harnessing AI to build the food supply chain technology of the future and tackle global food waste.,"Artificial Intelligence (AI), Food Delivery, Machinery Manufacturing, Supply Chain Management",,https://freshflow.ai,,1700000,EUR,1841976,Seed,2,"Capnamic Ventures, World Fund","Capnamic Ventures, Dr. Alexander Mrozek, Felix Fiege, Jens Fiege, Julius Göllner, World Fund",6,2,"111,459"
Seed Round - Advastore,https://www.crunchbase.com/funding_round/advastore-seed--1fcbe698,Advastore,https://www.crunchbase.com/organization/advastore,Seed,"Unterwössen, Bayern, Germany, Europe",,,,2022-09-06,Seed,,,,Yes,Advastore offers solutions for eCommerce fulfillment to online retailers.,"E-Commerce, Retail",,https://adva.store/,Less than $1M,,,,Seed,1,,"Cherry Ventures, DN Capital, Movendo Capital",3,,"114,642"
Series A - Ben,https://www.crunchbase.com/funding_round/ben-9844-series-a--0c5812b0,Ben,https://www.crunchbase.com/organization/ben-9844,Series A,"London, England, United Kingdom, Europe",16000000,USD,16000000,2022-08-03,Early Stage Venture,,,,Yes,"Make benefits work for everyone, everywhere","Debit Cards, Employee Benefits, FinTech, Health Insurance, Human Resources, Insurance, Life Insurance, Payments, SaaS, Software",,https://www.thanksben.com/,$1M to $10M,18500000,USD,18500000,Early Stage Venture,2,Atomico,"Atomico, Cherry Ventures, DN Capital, Seedcamp",4,3,"124,156"
Seed Round - Klar,https://www.crunchbase.com/funding_round/klar-5391-seed--d69808d5,Klar,https://www.crunchbase.com/organization/klar-5391,Seed,"Munich, Bayern, Germany, Europe",2300000,EUR,2551052,2022-03-29,Seed,,,,Yes,Klar engages in building data platforms for growing e-commerce brands.,"Data Center, E-Commerce, Software",,https://www.getklar.com/?utm_source=linkedin&utm_medium=social&utm_campaign=company-page,$1M to $10M,2300000,EUR,2551052,Seed,1,Cherry Ventures,"Benedikt Sauter, Benjamin Kremer, Cherry Ventures, Malte Horeyseck, Moritz Philipp Weisbrodt, Philipp Triebel, Samir El-Sabini",7,1,"127,572"
Series A - HiveMQ,https://www.crunchbase.com/funding_round/hivemq-series-a--7179ac95,HiveMQ,https://www.crunchbase.com/organization/hivemq,Series A,"Landshut, Bayern, Germany, Europe",40000000,EUR,42483771,2022-05-04,Early Stage Venture,,,,Yes,"HiveMQ is the proven enterprise MQTT platform designed to connect, communicate, and control IoT data under real-world stress.","Enterprise Software, Information Technology, Internet of Things, Software",,https://www.hivemq.com,$10M to $50M,49300000,EUR,53704502,Early Stage Venture,2,Molten Ventures,"Earlybird Venture Capital, Illusian Founder Office, Molten Ventures, Mubadala Capital Ventures, New Forge, Senovo",6,5,"131,921"
Pre Seed Round - Drop Friends,https://www.crunchbase.com/funding_round/drop-friends-pre-seed--0f337bf4,Drop Friends,https://www.crunchbase.com/organization/drop-friends,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2022-07-07,Seed,,,,Yes,Drop Friends is a platform for parcel shipments.,"Information Technology, Packaging Services",,https://www.dropfriends.com/,Less than $1M,,,,Seed,1,,"Daniel Matuschewsky, Daniel Senft, Henry Flack, Markus Richter, NRW.BANK, Randolf Schürmann",6,,"128,510"
Seed Round - Ravio,https://www.crunchbase.com/funding_round/ravio-seed--aa6253a5,Ravio,https://www.crunchbase.com/organization/ravio,Seed,"London, England, United Kingdom, Europe",10000000,USD,10000000,2022-04-27,Seed,,,,Yes,Ravio is a real time compensation benchmarking platform to understand salary and equity benefits.,"Employee Benefits, Human Resources, Real Time, SaaS",,https://ravio.com/,,10000000,USD,10000000,Seed,1,Northzone,"Catherine Lenson, Cherry Ventures, Jonathan Lenson, Northzone, Spark Capital",5,1,"128,873"
Seed Round - cleverly.de,https://www.crunchbase.com/funding_round/cleverly-de-seed--8726306b,cleverly.de,https://www.crunchbase.com/organization/cleverly-de,Seed,"Berlin, Berlin, Germany, Europe",3000000,EUR,2948797,2022-09-29,Seed,,,,Yes,"cleverly is a B2B2C kids online coaching platform, empowering family's wellbeing by matching kids & teens with their perfect companion.","B2B, B2C, E-Learning, EdTech, Mental Health, SaaS",,https://cleverly.de/,,8600000,EUR,9073346,Seed,4,,"Capnamic Ventures, Feliks Eyser, Flixfounders, Verena Pausder",4,,"130,603"
Seed Round - Pathmonk,https://www.crunchbase.com/funding_round/pathmonk-seed--207c1215,Pathmonk,https://www.crunchbase.com/organization/pathmonk,Seed,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",1500000,EUR,1547707,2022-08-11,Seed,,,,Yes,"Pathmonk is an intelligent assistant for websites, to increase conversions and qualify leads.","Artificial Intelligence (AI), Software",,https://pathmonk.com,$1M to $10M,1700000,EUR,1770216,Seed,2,TechVision Fund,"Carsten Lebtig, TechVision Fund",2,1,"128,081"
