Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series B - Protembis,https://www.crunchbase.com/funding_round/protembis-series-b--afacba94,Protembis,https://www.crunchbase.com/organization/protembis,Series B,"Aachen, Nordrhein-Westfalen, Germany, Europe",30000000,EUR,32497498,2024-03-26,Early Stage Venture,,,,Yes,Protembis is a medical device start-up company with its R&D base in the engineering and technology.,"Emergency Medicine, Health Care, Life Science, Medical Device, Personal Health",,http://www.protembis.com/,$1M to $10M,64130743,USD,64130743,Early Stage Venture,4,"Segulah Medical Acceleration, TechVision Fund, XGEN Venture","coparion, Segulah Medical Acceleration, TechVision Fund, XGEN Venture",4,,"18,860"
Seed Round - ECO2GROW,https://www.crunchbase.com/funding_round/eco2grow-seed--0a87de35,ECO2GROW,https://www.crunchbase.com/organization/eco2grow,Seed,"Bonn, Nordrhein-Westfalen, Germany, Europe",4000000,EUR,4376200,2024-07-17,Seed,,,,Yes,ECO2GROW is a B2B energy renewable energy company that helps industrial SMEs master the renewable energy age.,"Energy, Energy Management, GreenTech",,https://en.eco2grow.com,,4496200,USD,4496200,Seed,2,"neoteq ventures, NRW.BANK","neoteq ventures, NRW.BANK, Techstars, Vireo Ventures",4,1,"23,053"
Venture Round - SurFunction,https://www.crunchbase.com/funding_round/surfunction-series-unknown--a5c89124,SurFunction,https://www.crunchbase.com/organization/surfunction,Venture - Series Unknown,"Saarbrücken, Saarland, Germany, Europe",,,,2024-06-05,,,,,Yes,SurFunction is a system provider for contactless surface modification.,"Laser, Manufacturing",,https://surfunction.com,,,,,,1,Capnamic Ventures,Capnamic Ventures,1,1,"32,314"
Seed Round - Vivalyx,https://www.crunchbase.com/funding_round/vivalyx-seed--e3ead33b,Vivalyx,https://www.crunchbase.com/organization/vivalyx,Seed,"Aachen, Nordrhein-Westfalen, Germany, Europe",5400000,EUR,5759681,2024-04-30,Seed,,,,Yes,Vivalyx is committed to saving the lives of organ failure patients by boosting the vitality and number of donor organs.,"Health Care, Manufacturing, Medical",,https://vivalyx.com,,15400000,EUR,16284201,Seed,5,TechVision Fund,"Arve Capital, Brightlands Venture Partners, GOOSE Capital, Leblon Capital, Springboard Health Angels, TechVision Fund, Yoni Goldwasser",7,1,"35,155"
Series A - MARKT-PILOT,https://www.crunchbase.com/funding_round/markt-pilot-series-a--33aaa5b3,MARKT-PILOT,https://www.crunchbase.com/organization/markt-pilot,Series A,"Esslingen, Baden-Wurttemberg, Germany, Europe",43000000,USD,43000000,2024-04-23,Early Stage Venture,,,,Yes,MARKT-PILOT develops software to optimize machine manufacturers' spare parts business through market-driven pricing.,"Analytics, Machinery Manufacturing, SaaS, Software",,https://www.markt-pilot.com,$10M to $50M,49735894,USD,49735894,Early Stage Venture,2,Insight Partners,"Capnamic Ventures, Insight Partners",2,1,"39,594"
Seed Round - everyone energy,https://www.crunchbase.com/funding_round/everyone-energy-seed--fb268108,everyone energy,https://www.crunchbase.com/organization/everyone-energy,Seed,"Berlin, Berlin, Germany, Europe",,,,2024-05-07,Seed,,,,Yes,everyone energy is an automated energy advisory platform that aims to improve the user experience during the energy transition.,"Energy, Renewable Energy, SaaS, Solar",,https://everyone-energy.de,,,,,Seed,1,"HTGF | High-Tech Gruenderfonds, neoteq ventures","HTGF | High-Tech Gruenderfonds, neoteq ventures",2,1,"48,623"
Convertible Note - Dryad Networks,https://www.crunchbase.com/funding_round/dryad-3351-convertible-note--93251e2f,Dryad Networks,https://www.crunchbase.com/organization/dryad-3351,Convertible Note,"Berlin, Berlin, Germany, Europe",5600000,EUR,6125032,2024-03-20,,,,,No,Dryad Networks offers early wildfire detection systems to prevent forest fires by continuously monitoring environmental conditions.,"Analytics, GreenTech, Information Technology, Internet of Things, Telecommunications",,http://www.dryad.net,$1M to $10M,25800000,EUR,27411917,,8,,"Brandenburg Kapital, eCAPITAL ENTREPRENEURIAL PARTNERS, STIHL Ventures, TELUS Pollinator Fund for Good, TenNine VC",5,1,"51,381"
Seed Round - Tomorrow Things,https://www.crunchbase.com/funding_round/tomorrow-things-seed--03a82f4a,Tomorrow Things,https://www.crunchbase.com/organization/tomorrow-things,Seed,"Bonn, Nordrhein-Westfalen, Germany, Europe",1500000,EUR,1642930,2024-03-13,Seed,,,,Yes,Tomorrow Thing is an intelligent automation platform that makes digital twins of technological assets.,"Business Development, SaaS, Software",,https://tomorrowthings.com,,1500000,EUR,1642930,Seed,1,"HTGF | High-Tech Gruenderfonds, neoteq ventures","Christian Noske, HTGF | High-Tech Gruenderfonds, Markus Doetsch, Maximilian Eichler, neoteq ventures, Notion Capital, Robin Capital, Thomas Hollwedel, Thomas Lang",9,1,"78,899"
Seed Round - Acto,https://www.crunchbase.com/funding_round/acto-4b29-seed--996cf973,Acto,https://www.crunchbase.com/organization/acto-4b29,Seed,"Paderborn, Nordrhein-Westfalen, Germany, Europe",3700000,EUR,4005473,2024-02-22,Seed,,,,Yes,Acto is an AI-based software that helps sales managers by syncing all sales data in one place and provides a customized data signal to CRM.,"Artificial Intelligence (AI), B2B, Information Services, Sales, Software",,https://www.heyacto.com/,,3700000,EUR,4005473,Seed,1,"468 Capital, Cusp Capital","468 Capital, adesso ventures, another.vc, Benedikt Franke, Cusp Capital, Niklas Hellemann",6,2,"85,112"
Series A - Membion,https://www.crunchbase.com/funding_round/membion-series-a--4783d6e1,Membion,https://www.crunchbase.com/organization/membion,Series A,"Roetgen, Nordrhein-Westfalen, Germany, Europe",5000000,EUR,5439282,2024-01-16,Early Stage Venture,,,,Yes,Membion provides wastewater treatment with membrane bioreactor technology.,"Environmental Consulting, Waste Management, Water",,https://membion.com/,,5000000,EUR,5439282,Early Stage Venture,1,"DeepTech & Climate Fonds, TechVision Fund","DeepTech & Climate Fonds, TechVision Fund",2,2,"152,993"
Seed Round - Sunhat,https://www.crunchbase.com/funding_round/sunhat-seed--55fbdd1e,Sunhat,https://www.crunchbase.com/organization/sunhat,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",3000000,EUR,3252149,2024-02-27,Seed,,,,Yes,Sunhat is an automation tool that combines software engineering and sustainability expertise to help supply chain businesses.,"Business Information Systems, Consumer Software, Software",,https://www.getsunhat.com,,5000000,EUR,5414311,Seed,2,EnBW New Ventures,"Capnamic Ventures, EnBW New Ventures, WEPA Ventures, xdeck",4,3,"139,379"
